99.95.164.21,99-95-164-21.lightspeed.sntcca.sbcglobal.net,1
99.45.175.117,99-45-175-117.lightspeed.sntcca.sbcglobal.net,24
99.43.23.111,99-43-23-111.lightspeed.miamfl.sbcglobal.net,7
99.150.229.21,adsl-99-150-229-21.dsl.lsan03.sbcglobal.net,24
99.122.201.244,99-122-201-244.lightspeed.toldoh.sbcglobal.net,28
98.63.230.136,,7
98.46.21.126,,1
98.250.174.4,c-98-250-174-4.hsd1.mi.comcast.net,1
98.2.231.74,mta-98-2-231-74.maine.rr.com,7
98.128.173.1,h-98-128-173-1.A785.priv.bahnhof.se,25
98.121.76.83,098-121-076-083.res.spectrum.com,1
97.107.139.108,ritter.vg,29
96.65.68.193,tor.relay.stellaranomaly.jadfs.com,28
96.255.214.250,pool-96-255-214-250.washdc.fios.verizon.net,1
96.253.78.108,static-96-253-78-108.rcmdva.fios.verizon.net,31
96.22.210.165,modemcable165.210-22-96.mc.videotron.ca,1
96.126.105.219,perot.me,28
95.88.234.137,,1
95.223.32.66,ip-095-223-032-066.um35.pools.vodafone-ip.de,2
95.223.169.176,ip-095-223-169-176.um35.pools.vodafone-ip.de,1
95.222.114.228,ip-095-222-114-228.um34.pools.vodafone-ip.de,1
95.217.62.4,zwiebelmett.xyz,24
95.217.6.94,static.94.6.217.95.clients.your-server.de,24
95.217.30.201,waveguide-01.phantomwave.org,7
95.217.28.112,static.112.28.217.95.clients.your-server.de,24
95.217.231.111,static.111.231.217.95.clients.your-server.de,1
95.217.223.54,static.54.223.217.95.clients.your-server.de,24
95.217.206.235,static.235.206.217.95.clients.your-server.de,25
95.217.203.133,gate.rz-kaltenhof.net,24
95.217.2.206,static.206.2.217.95.clients.your-server.de,24
95.217.183.194,static.194.183.217.95.clients.your-server.de,8
95.217.17.197,static.197.17.217.95.clients.your-server.de,1
95.217.16.212,static.212.16.217.95.clients.your-server.de,24
95.217.156.221,static.221.156.217.95.clients.your-server.de,2
95.217.15.125,static.125.15.217.95.clients.your-server.de,24
95.217.14.17,static.17.14.217.95.clients.your-server.de,24
95.217.14.105,static.105.14.217.95.clients.your-server.de,27
95.217.135.55,static.55.135.217.95.clients.your-server.de,26
95.217.135.250,tethys.smash-net.org,7
95.217.129.223,svr3.ntg.onl,8
95.217.121.38,www.aktion-nordost.de,7
95.217.112.245,tessa.arbitrary.ch,8
95.217.112.243,tessa-b.arbitrary.ch,8
95.217.112.218,tessa-c.arbitrary.ch,7
95.217.0.139,tor1.serverhost.xyz,24
95.216.98.55,hyperion.kookie.space,29
95.216.72.20,static.20.72.216.95.clients.your-server.de,1
95.216.5.245,static.245.5.216.95.clients.your-server.de,7
95.216.35.84,static.84.35.216.95.clients.your-server.de,28
95.216.33.58,akka.0x90.dk,28
